Date,Day of the Week,Amount,Description,Category ,Method of Payment
2-1-23,Wednesday,300,jordans,Entertainment and Recreation,Cash
1-27-23,Friday,32.91,hair products,Housing,Debit
1-27-23,Friday,2.50,takis,Food,Cash
1-26-23,Thursday,7.50,sandwhich ,Food,Cash
1-24-23,Tuesday,25,playstation plus,Bills,Debit
,Tuesday,8.68,hair products,,Debit
,Tuesday,18.99,white t,,Debit
,Tuesday,20,tank tops,,Debit
,Tuesday,2.50 ,sprite,,Cash
,Tuesday,10.19,dove shampoo,,Credit
,Tuesday,7.49,beef jerky,,Debit
,Tuesday,89.99,cookies sweater,,Debit
